S1_Temp,S2_Temp,S3_Temp,S4_Temp,S2_Light,Class
24.94,24.75,24.56,25.38,34,1
24.94,24.75,24.56,25.44,33,1
25,24.75,24.5,25.44,34,1
25,24.75,24.56,25.44,34,1
25,24.75,24.56,25.44,34,1
25,24.81,24.56,25.44,34,1
25,24.75,24.56,25.44,34,1
25,24.81,24.56,25.44,34,1
25,24.81,24.56,25.5,34,1
25.31,25.25,24.88,25.75,31,1
25.31,25.63,24.81,25.75,29,1
26.13,26.81,26.13,26.44,23,0
26.13,26.63,26.06,26.38,22,0
26.13,26.56,26.06,26.38,22,0
26.13,26.56,26,26.38,22,0
26.13,26.56,26,26.38,23,0
26.06,26.56,26,26.44,23,0
26.13,26.56,26,26.38,23,0
26.06,26.56,26,26.44,23,0
26.13,26.56,26,26.38,23,0
26.13,26.5,26,26.38,22,0
26.13,26.5,26,26.38,22,0
26.06,26.5,26,26.31,23,0
26.13,26.44,26,26.38,23,0
26.06,26.44,26,26.38,23,0
26.06,26.44,26,26.38,22,0
26.06,26.44,25.94,26.38,22,0
26.06,26.44,25.94,26.44,22,0
26.06,26.5,25.94,26.38,22,0
26.06,26.44,25.94,26.38,22,0
26.06,26.44,25.94,26.38,22,0
26.06,26.38,25.94,26.31,22,0
26.06,26.38,25.94,26.38,22,0
26.06,26.38,25.88,26.38,23,0
26.06,26.38,25.88,26.38,23,0
26.06,26.38,25.88,26.38,23,0
26.06,26.38,25.88,26.38,23,0
26.06,26.38,25.88,26.38,23,0
26.06,26.31,25.88,26.38,22,0
26.06,26.31,25.88,26.38,22,0
26.06,26.31,25.88,26.38,22,0
26.06,26.31,25.88,26.38,21,0
26,26.31,25.88,26.38,21,0
26,26.25,25.88,26.38,21,0
26,26.25,25.88,26.38,20,0
26.06,26.25,25.88,26.38,20,0
26,26.25,25.88,26.38,22,0
26,26.25,25.88,26.38,21,0
26,26.25,25.88,26.38,21,0
26,26.19,25.88,26.31,21,0
26,26.19,25.81,26.31,21,0
26,26.25,25.88,26.38,21,0
26,26.19,25.81,26.38,21,0
26,26.13,25.81,26.38,21,0
26,26.19,25.88,26.38,21,0
26,26.19,25.88,26.38,21,0
26,26.19,25.88,26.38,21,0
26,26.19,25.88,26.31,21,0
26,26.13,25.81,26.38,21,0
26,26.19,25.81,26.31,21,0
26,26.19,25.81,26.31,21,0
25.94,26.13,25.81,26.31,21,0
26,26.13,25.88,26.31,21,0
25.94,26.13,25.88,26.31,21,0
26,26.13,25.81,26.38,21,0
26,26.13,25.81,26.38,21,0
26,26.13,25.81,26.38,21,0
25.94,26.13,25.81,26.38,20,0
26,26.13,25.81,26.31,20,0
26,26.13,25.81,26.31,20,0
25.94,26.13,25.81,26.38,20,0
25.94,26.13,25.81,26.31,20,0
25.94,26.13,25.81,26.38,20,0
25.94,26.06,25.81,26.38,20,0
25.94,26.13,25.81,26.38,20,0
25.94,26.06,25.81,26.31,20,0
25.94,26.06,25.75,26.31,20,0
25.94,26.06,25.75,26.38,20,0
25.94,26.06,25.81,26.38,20,0
25.94,26.06,25.75,26.38,20,0
25.94,26.06,25.75,26.38,19,0
25.94,26.06,25.75,26.31,19,0
25.94,26.06,25.75,26.31,18,0
25.94,26.06,25.81,26.31,18,0
25.94,26.06,25.75,26.31,18,0
25.88,26.06,25.75,26.31,18,0
25.94,26.06,25.75,26.38,17,0
25.94,26,25.75,26.31,18,0
25.94,26,25.75,26.31,19,0
25.94,26,25.75,26.31,19,0
25.88,26,25.75,26.31,19,0
25.88,26,25.75,26.38,19,0
25.88,26,25.75,26.31,19,0
25.88,26,25.75,26.31,19,0
25.88,26,25.75,26.31,19,0
25.88,26,25.75,26.31,19,0
25.88,26,25.75,26.31,18,0
25.88,26,25.75,26.31,19,0
25.88,25.94,25.75,26.31,19,0
25.88,25.94,25.75,26.38,20,0
25.81,25.94,25.75,26.31,19,0
25.88,25.94,25.75,26.31,19,0
25.88,25.94,25.75,26.31,18,0
25.88,25.94,25.75,26.31,17,0
25.88,25.94,25.75,26.31,17,0
25.88,25.94,25.75,26.31,17,0
25.88,25.94,25.75,26.31,17,0
25.88,25.94,25.75,26.31,16,0
25.88,25.94,25.75,26.31,17,0
25.88,25.94,25.75,26.31,17,0
25.81,25.94,25.75,26.31,16,0
25.88,25.88,25.69,26.31,17,0
25.81,25.94,25.75,26.31,16,0
25.81,25.88,25.69,26.31,16,0
25.88,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.38,16,0
25.88,25.94,25.69,26.38,16,0
25.81,25.88,25.75,26.31,16,0
25.81,25.88,25.69,26.38,17,0
25.88,25.88,25.69,26.31,17,0
25.81,25.88,25.75,26.31,17,0
25.81,25.88,25.69,26.38,16,0
25.81,25.88,25.69,26.31,17,0
25.81,25.88,25.69,26.38,16,0
25.81,25.88,25.69,26.31,16,0
25.88,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.38,16,0
25.81,25.88,25.69,26.31,16,0
25.81,25.88,25.69,26.31,15,0
25.81,25.88,25.69,26.25,33,1
25.81,25.88,25.69,26.31,34,1
25.88,25.88,25.69,26.25,34,1
25.88,25.88,25.63,26.31,34,1
25.88,25.88,25.63,26.25,34,1
25.88,25.88,25.63,26.38,34,1
25.94,25.88,25.63,26.31,34,1
25.94,25.88,25.63,26.31,34,1
25.94,25.88,25.63,26.31,34,1
25.88,25.88,25.63,26.31,34,1
25.94,25.88,25.63,26.31,34,1
25.94,25.88,25.63,26.38,34,1
25.88,25.81,25.56,26.31,33,1
25.94,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.38,34,1
25.94,25.88,25.63,26.31,33,1
25.94,25.88,25.63,26.31,33,1
25.94,25.88,25.63,26.31,33,1
25.94,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.25,32,1
25.94,25.81,25.63,26.31,32,1
26,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.31,32,1
26,25.88,25.63,26.25,33,1
26,25.81,25.63,26.31,33,1
25.94,25.81,25.63,26.25,33,1
25.94,25.81,25.63,26.25,33,1
26,25.81,25.63,26.25,33,1
26,25.81,25.63,26.25,33,1
26,25.81,25.63,26.31,33,1
26,25.81,25.63,26.25,33,1
26,25.81,25.63,26.25,33,1
26,25.81,25.63,26.31,33,1
26,25.81,25.63,26.31,33,1
26,25.81,25.63,26.31,33,1
26,25.81,25.63,26.31,32,1
26,25.81,25.63,26.31,32,1
26,25.81,25.69,26.31,32,1
26.06,25.81,25.63,26.31,32,1
26.06,25.81,25.69,26.31,31,1
26,25.81,25.63,26.25,31,1
26,25.81,25.63,26.25,31,1
26,25.81,25.63,26.25,31,1
26.06,25.81,25.69,26.31,31,1
26,25.81,25.63,26.25,31,1
26,25.81,25.63,26.25,31,1
26,25.75,25.63,26.31,30,1
26.06,25.75,25.63,26.31,30,1
26.06,25.75,25.56,26.31,30,1
26,25.75,25.63,26.38,30,1
26,25.75,25.56,26.31,30,1
26,25.81,25.63,26.31,30,1
26,25.81,25.56,26.31,30,1
26,25.81,25.56,26.31,29,1
26,25.81,25.63,26.31,29,1
26,25.75,25.56,26.31,29,1
26,25.81,25.56,26.31,29,1
26.06,25.81,25.56,26.31,29,1
26,25.75,25.56,26.31,29,1
26,25.81,25.56,26.25,29,1
26.06,25.75,25.63,26.31,29,1
26.06,25.75,25.63,26.25,29,1
26.06,25.75,25.56,26.31,29,1
26,25.75,25.56,26.38,29,1
26.06,25.75,25.63,26.31,29,1
26.06,25.75,25.56,26.31,29,1
26.06,25.75,25.56,26.25,29,1
26.06,25.75,25.56,26.31,29,1
26.06,25.75,25.56,26.31,29,1
26.06,25.75,25.56,26.31,29,1
26.06,25.75,25.56,26.38,29,1
26.06,25.75,25.56,26.31,29,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.38,28,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,28,1
