S2_Temp,S2_Light,S2_Sound,S5_CO2_Slope,S7_PIR,Room_Occupancy_Count
24.75,34,0.19,0.769230769,0,1
24.75,33,0.05,0.646153846,0,1
24.75,34,0.11,0.519230769,0,1
24.75,34,0.1,0.388461538,0,1
24.75,34,0.06,0.253846154,0,1
24.81,34,0.06,0.165384615,0,1
24.75,34,0.32,0.076923077,0,1
24.81,34,0.06,-0.011538462,0,1
24.81,35,0.05,-0.1,0,1
24.81,34,0.64,-0.188461538,1,1
24.81,35,0.31,-0.276923077,1,1
24.81,35,0.13,-0.365384615,0,1
24.88,35,0.15,-0.453846154,0,1
24.81,35,0.21,-0.542307692,0,1
24.88,35,0.17,-0.630769231,0,1
24.88,35,0.17,-0.719230769,0,1
24.88,35,0.05,-0.711538462,0,1
24.81,35,0.07,-0.653846154,0,1
24.81,35,0.07,-0.542307692,0,1
24.88,35,0.06,-0.373076923,0,1
24.88,35,0.04,-0.238461538,0,1
24.88,35,0.05,-0.092307692,0,1
24.88,35,0.05,0.061538462,0,1
24.88,35,0.12,0.319230769,0,1
24.88,35,0.12,0.334615385,0,1
24.88,35,0.08,0.388461538,0,1
24.88,35,0.19,0.480769231,0,1
24.88,35,0.13,0.607692308,0,1
24.88,35,0.14,0.719230769,0,1
24.88,35,0.25,0.769230769,0,1
24.88,35,0.13,0.807692308,0,1
24.88,35,0.08,0.788461538,0,1
24.88,35,0.05,0.853846154,0,1
24.88,35,0.16,0.903846154,0,1
24.88,35,0.06,0.892307692,0,1
24.88,35,0.05,0.915384615,0,1
24.88,35,0.24,0.923076923,0,1
24.94,35,0.05,0.961538462,0,1
24.88,35,0.05,1.026923077,0,1
24.94,35,0.05,1.115384615,0,1
24.94,35,0.06,1.176923077,0,1
24.94,35,0.26,1.215384615,0,1
24.94,36,0.08,1.234615385,0,1
24.94,35,0.16,1.234615385,0,1
24.88,35,0.19,1.215384615,0,1
24.94,35,0.05,1.173076923,0,1
24.94,36,0.12,1.2,0,1
24.94,36,0.27,1.2,0,1
24.94,36,0.06,1.269230769,0,1
24.94,36,0.05,1.219230769,0,1
24.94,35,0.05,1.15,0,1
24.94,35,0.07,1.065384615,0,1
24.94,36,0.12,1.019230769,0,1
24.94,35,0.11,0.965384615,0,1
24.94,35,0.14,0.946153846,0,1
24.94,35,0.09,0.953846154,0,1
24.94,35,0.12,0.842307692,0,1
24.94,35,0.12,0.946153846,0,1
24.94,35,0.05,0.976923077,0,1
25,35,0.08,0.934615385,0,1
24.94,36,0.05,0.869230769,0,1
25,36,0.1,0.738461538,0,1
25,36,0.1,0.688461538,0,1
25,36,0.15,0.719230769,0,1
25,35,0.08,0.830769231,0,1
25,35,0.06,0.926923077,0,1
25,36,0.06,0.957692308,0,1
25,35,0.1,0.969230769,0,1
25,36,0.05,0.915384615,0,1
25,36,0.1,0.846153846,0,1
25,37,0.19,0.857692308,0,1
25,37,0.08,0.903846154,0,1
25,37,0.09,0.984615385,0,1
25.25,31,0.31,1.1,1,1
25.63,29,0.55,1.103846154,1,1
25.44,187,0.46,1.088461538,1,2
25.44,216,0.74,1.003846154,1,2
25.44,234,1.08,0.896153846,1,2
25.44,239,0.29,0.719230769,1,2
25.38,241,0.24,0.623076923,1,2
25.38,242,0.33,0.611538462,1,2
25.44,242,0.56,0.538461538,1,2
25.44,243,0.68,0.646153846,0,2
25.44,242,0.63,0.696153846,0,2
25.31,242,0.32,0.688461538,0,2
25.38,241,0.41,0.623076923,0,2
25.38,241,0.55,0.45,0,2
25.44,240,0.67,0.361538462,0,2
25.44,240,0.25,0.311538462,0,2
25.38,239,0.38,0.303846154,0,2
25.38,239,0.81,0.384615385,0,2
25.44,239,0.42,0.453846154,0,2
25.5,236,0.56,0.65,1,2
25.56,236,0.51,0.819230769,1,2
25.5,237,0.36,0.957692308,1,2
25.56,236,0.78,1.161538462,1,2
25.56,236,0.35,1.380769231,1,2
25.56,237,0.36,1.707692308,1,2
25.56,237,0.56,1.996153846,1,2
25.56,235,1.15,2.246153846,0,2
25.56,236,1.24,2.457692308,0,2
25.56,235,1.27,2.723076923,1,2
25.56,235,0.63,2.942307692,0,2
25.56,234,0.35,3.111538462,0,2
25.63,234,2.12,3.226923077,0,2
25.63,235,0.32,3.338461538,0,2
25.63,235,0.38,3.446153846,1,2
25.63,235,0.49,3.596153846,1,2
25.63,234,0.29,3.738461538,1,2
25.56,234,0.23,3.865384615,1,2
25.63,235,0.51,3.923076923,0,2
25.63,234,0.19,3.907692308,0,2
25.63,234,0.26,3.865384615,0,2
25.69,234,0.15,3.75,0,2
25.69,233,0.14,3.607692308,0,2
25.69,233,0.14,3.488461538,0,2
25.69,233,0.28,3.3,1,2
25.69,233,0.42,3.238461538,1,2
25.69,233,0.82,3.165384615,0,2
25.75,233,0.43,3.034615385,1,2
25.75,233,0.27,2.896153846,1,2
25.75,232,0.17,2.8,1,1
25.69,233,0.5,2.75,0,1
25.75,233,0.1,2.653846154,0,2
25.69,232,1.54,2.511538462,1,2
25.75,232,0.78,2.369230769,1,2
25.75,232,1.05,2.323076923,1,2
25.69,232,1.03,2.230769231,1,2
25.94,239,3.44,2.142307692,1,2
26.38,243,1.27,2.103846154,1,2
26.81,242,1.96,2.015384615,1,2
26.81,242,0.9,1.973076923,1,2
27,238,0.6,1.976923077,1,2
26.94,243,1.03,1.934615385,1,2
27.19,243,0.1,1.996153846,0,2
27.25,243,0.06,2.019230769,0,2
27.44,244,0.05,2.146153846,0,2
27.5,244,0.05,2.230769231,0,2
27.56,244,0.07,2.226923077,0,2
27.75,244,0.1,2.326923077,0,2
27.94,244,0.15,2.292307692,0,2
27.69,244,0.12,2.223076923,0,2
27.5,244,0.6,2.123076923,0,2
27.44,244,0.1,1.996153846,0,2
27.56,244,0.29,1.842307692,0,2
27.38,244,0.3,1.661538462,0,2
27.31,244,0.08,1.55,0,2
27.31,244,0.12,1.411538462,0,2
27.38,244,0.06,1.246153846,0,2
